,precision,recall,f1-score,support
crazing,0.9107142857142857,0.85,0.8793103448275862,60.0
inclusion,0.8169014084507042,0.9666666666666667,0.8854961832061069,60.0
patches,0.8461538461538461,0.9166666666666666,0.88,60.0
pitted,0.8846153846153846,0.7666666666666667,0.8214285714285714,60.0
rolled-in,1.0,1.0,1.0,60.0
scratches,0.9464285714285714,0.8833333333333333,0.9137931034482759,60.0
accuracy,0.8972222222222223,0.8972222222222223,0.8972222222222223,0.8972222222222223
macro avg,0.9008022493937986,0.8972222222222221,0.8966713671517567,360.0
weighted avg,0.9008022493937986,0.8972222222222223,0.8966713671517568,360.0
